"date","armed","age","gender","race","city","state","signs_of_mental_illness","body_camera","percent_completed_hs","poverty_rate"
"2017-02-06","gun",29,"M","B","Abbeville","AL",False,False,"69.1","29.1"
"2015-08-23","gun",36,"M","W","Arab","AL",False,False,"87.6","16.7"
"2016-02-28","gun",41,"M","W","Ashville","AL",False,False,"77.6","28.3"
"2015-11-03","gun",54,"M","W","Bay Minette","AL",False,False,"79.1","26.3"
"2015-02-20","gun",77,"M","B","Birmingham","AL",True,False,"85.1","30.9"
"2016-06-22","vehicle",20,"M","B","Birmingham","AL",False,False,"85.1","30.9"
"2016-09-06","gun",34,"M","W","Birmingham","AL",False,False,"85.1","30.9"
"2015-06-17","gun",40,"F","W","Clanton","AL",False,False,"76.8","16.9"
"2016-01-23","toy weapon",43,"M","W","Clanton","AL",False,True,"76.8","16.9"
"2017-07-18","gun",32,"M","W","Clay","AL",False,False,"92.2","6.6"
"2015-11-02","toy weapon",46,"M","W","Dadeville","AL",True,True,"73.7","28.8"
"2017-06-24","undetermined",NULL,"M",NULL,"Deer Park","AL",False,False,"86.3","28.1"
"2016-04-06","gun",35,"M","B","Eufaula","AL",False,True,"81.5","25.3"
"2016-12-24","gun",NULL,"M",NULL,"Gadsden","AL",False,False,"78.3","29.4"
"2015-02-20","gun",38,"M","B","Homewood","AL",False,False,"93.5","12.7"
"2016-07-29","gun",40,"F","W","Homewood","AL",False,False,"93.5","12.7"
"2015-11-03","gun",53,"M","W","Hoover","AL",True,False,"95.2","6"
"2015-05-25","knife",36,"M","B","Huntsville","AL",True,False,"90.2","18.2"
"2016-06-18","toy weapon",34,"M","W","Huntsville","AL",False,True,"90.2","18.2"
"2016-09-17","toy weapon",45,"M","W","Huntsville","AL",False,True,"90.2","18.2"
"2017-07-07","gun",NULL,"M",NULL,"Huntsville","AL",False,False,"90.2","18.2"
"2016-01-20","gun",33,"M","W","Meridianville","AL",False,True,"86.6","15.4"
"2015-02-23","gun",16,"M","B","Millbrook","AL",False,False,"91.3","11.6"
"2016-06-13","gun",18,"M","B","Mobile","AL",False,False,"86.9","23.3"
"2015-10-14","gun",57,"M","B","Monroeville","AL",False,False,"82.3","36.7"
"2016-02-25","pole",56,"M","B","Montgomery","AL",False,True,"85.5","24.1"
"2015-04-10","gun",27,"M","W","Muscle Shoals","AL",True,False,"88.7","10.7"
"2015-10-31","unarmed",56,"M","B","Opelika","AL",False,False,"83.7","23"
"2015-07-16","gun",29,"M","W","Opp","AL",False,False,"77.4","25.9"
"2017-01-25","vehicle",37,"M","W","Oxford","AL",True,False,"83.5","11.7"
"2016-01-29","vehicle",41,"F","W","Phenix City","AL",False,False,"84.8","21"
"2016-06-11","vehicle",17,"M","W","Phenix City","AL",False,False,"84.8","21"
"2016-10-15","gun",38,"M",NULL,"Phenix City","AL",False,False,"84.8","21"
"2017-07-05","undetermined",27,"M","B","Phenix City","AL",False,False,"84.8","21"
"2016-03-13","gun",26,"M","W","Piedmont","AL",False,False,"76.8","25.6"
"2016-01-17","gun",38,"M","W","Rainbow City","AL",False,False,"92.5","17.7"
"2016-12-21","gun",27,"M","W","Saraland","AL",False,False,"85.4","11.2"
"2016-07-07","gun",63,"M","B","Selma","AL",False,True,"77.8","41.9"
"2015-12-09","undetermined",23,"M","W","Sylacauga","AL",False,False,"82.5","29.8"
"2015-08-20","unarmed",50,"M","W","Tuscaloosa","AL",True,False,"87.3","25.1"
"2016-02-12","gun",33,"M","W","Tuscumbia","AL",False,False,"86.2","15.3"
"2016-10-22","unknown weapon",21,"M","W","Westover","AL",True,False,"85.2","13.4"
"2016-10-02","gun",36,"M","N","Barrow","AK",False,False,"84.6","11.7"
"2017-02-17","gun",35,"M","B","Big Lake","AK",False,False,"90.4","9.6"
"2015-09-09","gun",33,"M","N","Fairbanks","AK",False,False,"91.2","13.1"
"2015-08-09","gun",19,"M","N","Fairbanks","AK",False,False,"91.2","13.1"
"2016-08-29","gun",28,"M",NULL,"Fairbanks","AK",False,True,"91.2","13.1"
"2017-06-19","gun",21,"M","N","Fairbanks","AK",True,False,"91.2","13.1"
"2017-05-25","gun",23,"M","W","Fairbanks","AK",False,False,"91.2","13.1"
"2016-02-21","gun",38,"F","N","Houston","AK",False,False,"90.2","14.8"
"2016-03-06","knife",33,"M","W","Wasilla","AK",False,False,"91.8","11.7"
"2017-03-26","gun",36,"M","W","Wasilla","AK",False,False,"91.8","11.7"
"2016-08-16","toy weapon",53,"M","W","Apache Junction","AZ",False,False,"85.5","24"
"2017-01-28","gun",45,"M","W","Apache Junction","AZ",False,False,"85.5","24"
"2017-03-06","gun",44,"M","W","Avondale","AZ",False,False,"79","18.6"
"2017-04-13","vehicle",28,"M","W","Avondale","AZ",False,False,"79","18.6"
"2017-07-25","gun",33,"M",NULL,"Avondale","AZ",True,False,"79","18.6"
"2015-04-22","knife",51,"M","H","Bisbee","AZ",False,False,"87.3","29.1"
"2016-06-25","gun",NULL,"M",NULL,"Buckeye","AZ",False,False,"84.3","14.8"
"2016-11-12","toy weapon",44,"F","W","Bullhead City","AZ",True,False,"82.7","19.7"
"2016-11-18","machete",48,"M",NULL,"Casa Grande","AZ",True,False,"86.4","16.9"
"2015-05-01","gun",22,"M","H","Chandler","AZ",False,False,"91.5","10"
"2016-04-23","gun",24,"M","W","Chandler","AZ",True,False,"91.5","10"
"2015-05-30","unarmed",19,"M","W","Cottonwood","AZ",False,False,"84.6","9.6"
"2015-05-30","unarmed",19,"M","W","Cottonwood","AZ",False,False,"84.9","9.6"
"2015-03-21","gun",21,"M","W","Cottonwood","AZ",False,False,"84.6","9.6"
